vehicle_id,model_name,drivetrain_type,weight_class,comparison_pair_id,comparison_pair_name,total_tco_npv,annual_tco,cost_per_km,cost_km_depreciation,cost_km_fuel,cost_km_maintenance,wfall_asset_cost,wfall_residual_value,wfall_fuel,wfall_maintenance,wfall_infrastructure,wfall_insurance,wfall_taxes_fees
BEV001,Jac N75,BEV,Light Rigid,DSL001,Hino 300,356342.2742501829,34330.82987314334,1.4926447770931885,0.6221362205846642,0.10005178028095513,0.10754194115167996,181795.0,-33271.09187479709,32862.28742693035,36225.00000000001,300000.0,122662.50000000001,15090.0
BEV002,Hyundai Mighty Electric,BEV,Light Rigid,DSL002,Hyundai Mighty,305441.6675011894,29426.948978246764,1.2794325642715985,0.5287276662192614,0.10005178028095513,0.10754194115167996,154500.0,-28275.71547433181,32862.28742693035,36225.00000000001,300000.0,108750.00000000001,14295.0
BEV003,Jac N90,BEV,Light Rigid,DSL003,Hino 500,351459.3670864708,33860.39942680775,1.472191279426424,0.5287276662192614,0.1271491374403805,0.10754194115167996,154500.0,-28275.71547433181,41762.490271724,36225.00000000001,300000.0,108750.00000000001,14295.0
BEV004,Volvo FL,BEV,Medium Rigid,DSL004,Volvo FE,463895.1153166538,44692.716620360625,1.9431615921895924,0.7049702216256819,0.22720091772133572,0.10754194115167996,206000.0,-37700.953965775734,74624.77769865436,36225.00000000001,300000.0,135000.0,15795.0
BEV005,MB eActros 300,BEV,Medium Rigid,DSL005,MB Actros,785667.766452436,75693.02992087319,3.29100130090753,1.4099404432513638,0.22720091772133572,0.10754194115167996,412000.0,-75401.90793155147,74624.77769865436,36225.00000000001,300000.0,240000.00000000003,21795.0
BEV006,MB eActros 600,BEV,Articulated,DSL006,MB Actros,3076175.7700008596,296365.81077001145,3.5281644139287076,0.5790826820496673,0.33371542292203005,0.20432968818819192,618000.0,-113102.86189732724,400313.92516681267,251370.0,300000.0,345000.00000000006,121080.0
BEV007,Volvo FH,BEV,Articulated,DSL007,Volvo FH,2924543.2705874136,281757.18890061264,3.354252248816817,0.43431201153725046,0.33371542292203005,0.20432968818819192,463500.0,-84827.14642299541,400313.92516681267,251370.0,300000.0,266250.0,116580.0
BEV008,Scania 45R,BEV,Articulated,DSL008,Scania R560,2727808.863991266,262803.3461176926,3.128611263305864,0.3088440970931559,0.33371542292203005,0.20432968818819192,329600.0,-60321.52634524118,400313.92516681267,251370.0,300000.0,198000.00000000003,112680.0
DSL001,Hino 300,Diesel,Light Rigid,BEV001,Jac N75,339108.0545101513,32670.4457182283,1.4204541616621,0.2819880886502728,0.681195582085175,0.19357549407302393,82400.0,-15080.381586310295,227813.50620051747,65205.0,0.0,67800.0,12195.0
DSL002,Hyundai Mighty,Diesel,Light Rigid,BEV002,Hyundai Mighty Electric,332687.1260605294,32051.838782816445,1.3935582079485411,0.2643638331096307,0.681195582085175,0.19357549407302393,77250.0,-14137.857737165905,227813.50620051747,65205.0,0.0,65437.5,12045.0
DSL003,Hino 500,Diesel,Light Rigid,BEV003,Jac N90,403317.339006371,38856.51507234689,1.6894136987976909,0.4582306440566932,0.681195582085175,0.19357549407302393,133900.0,-24505.620077754233,227813.50620051747,65205.0,0.0,91425.0,13695.0
DSL004,Volvo FE,Diesel,Medium Rigid,BEV004,Volvo FL,542125.9476111033,52229.65396518304,2.2708545202253494,0.7754672437882499,0.7785092366687714,0.19357549407302393,226600.0,-41471.049362353326,260358.2928005914,65205.0,0.0,133950.0,16395.0
DSL005,MB Actros,Diesel,Medium Rigid,BEV005,MB eActros 300,606335.232107323,58415.72331930163,2.5398140573609402,0.9517097991946705,0.7785092366687714,0.19357549407302393,278100.0,-50896.28785379726,260358.2928005914,65205.0,0.0,157575.0,17895.0
DSL006,MB Actros,Diesel,Articulated,BEV006,MB eActros 600,1443770.7328916707,139096.1751900588,1.6559068475007,0.26058720692235027,0.8514944776064685,0.3011174352247039,278100.0,-50896.28785379726,1040018.1804806229,370440.00000000006,0.0,157575.0,111180.0
DSL007,Volvo FH,Diesel,Articulated,BEV007,Volvo FH,1456612.5897909144,140333.3890608825,1.670635584058125,0.2702385849565114,0.8514944776064685,0.3011174352247039,288400.0,-52781.33555208604,1040018.1804806229,370440.00000000006,0.0,162300.0,111480.0
DSL008,Scania R560,Diesel,Articulated,BEV008,Scania 45R,1482296.3035894022,142807.81680252994,1.7000930571729755,0.28954134102483364,0.8514944776064685,0.3011174352247039,309000.0,-56551.43094866362,1040018.1804806229,370440.00000000006,0.0,171750.0,112080.0
AVG_Articulated_BEV,Average Articulated BEV,BEV,Articulated,,,2909509.301526513,280308.7819294389,3.3370093086837964,0.44074626356002455,0.33371542292203005,0.2043296881881919,470366.6666666667,-86083.84488852129,400313.92516681267,251370.0,300000.0,269750.0,116780.0
AVG_Articulated_Diesel,Average Articulated Diesel,Diesel,Articulated,,,1460893.208757329,140745.7936844904,1.6755451629106002,0.27345571096789845,0.8514944776064685,0.3011174352247039,291833.3333333333,-53409.68478484897,1040018.180480623,370440.00000000006,0.0,163875.0,111580.0
AVG_Light_Rigid_BEV,Average Light Rigid BEV,BEV,Light Rigid,,,337747.76961261436,32539.392759399285,1.4147562069304038,0.5598638510077291,0.10908423266743024,0.10754194115167996,163598.33333333334,-29940.840941153572,35829.02170852823,36225.00000000001,300000.0,113387.50000000001,14560.0
AVG_Light_Rigid_Diesel,Average Light Rigid Diesel,Diesel,Light Rigid,,,358370.8398590172,34526.266524463885,1.5011420228027774,0.33486085527219894,0.681195582085175,0.19357549407302396,97850.0,-17907.95313374348,227813.50620051744,65205.0,0.0,74887.5,12645.0
AVG_Medium_Rigid_BEV,Average Medium Rigid BEV,BEV,Medium Rigid,,,624781.4408845449,60192.87327061691,2.6170814465485615,1.057455332438523,0.22720091772133572,0.10754194115167996,309000.0,-56551.430948663605,74624.77769865436,36225.00000000001,300000.0,187500.0,18795.0
